Poste;Entreprise;Liste_taches;Complexite;Salaire_annuel_estime;Ratio_Taches_par_Salaire;Lien
Process & Data Analyst;PARTENOR;['r'];1;117700.0;8.5e-06;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/process-data-analyst
Data Quality Analyst;VISIAN;['r'];1;111100.0;9e-06;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-quality-analyst-21
Data Analyst BI H/F;AMAGO EXPERTISE;['r'];1;110000.0;9.09e-06;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-bi-h-f-3
Consultant(e) Data Analyst  F/H-Niort;Argain Consulting Innovation;['r'];1;104500.0;9.57e-06;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/consultant-e-data-analyst-f-h-niort
Data Analyst;Atlanse;['r'];1;101200.0;9.88e-06;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-751
Data analyst;Cherry Pick;['r'];1;99000.0;1.01e-05;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-747
DATA ANALYST SENIOR LOOKER;PROPULSE IT;['r'];1;99000.0;1.01e-05;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-senior-looker-12
Développeur QlikSense / Data analyst;VISIAN;['r'];1;96800.0;1.033e-05;https://www.free-work.com/fr/tech-it/data-engineer/job-mission/developpeur-qliksense-data-analyst
Data Engineer / Data Analyst (H/F);CITECH;['r', 'databricks'];2;107800.0;1.855e-05;https://www.free-work.com/fr/tech-it/data-engineer/job-mission/data-engineer-data-analyst-h-f-3
Data Analyste (13);VISIAN;['power bi', 'r'];2;106700.0;1.874e-05;https://www.free-work.com/fr/tech-it/analyste-programmeur/job-mission/data-analyste-13-1
